Order ID,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Rank,Ranking Score,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Size Similarity,Property Match Score,Total Difference Score,_score
4758672,2010.0,33661.0,3.0,2.5,Detached,2 Storey,2025-04-09,3,3.8765,1693.0,28176.0,5.0,2.5,Detached,2 Storey,2025-01-17,317 (18.7%),5485,2.0,0.0,Yes,Yes,Yes,0.240,1.000,8.290,3.8765
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,1,4.6660,1148.0,4413.0,3.0,1.5,Detached,Bungalow,2025-03-19,4 (0.3%),1410,0.0,0.0,Yes,No,Yes,0.962,0.700,0.139,4.666
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,2,4.6112,1335.0,3346.0,3.0,1.5,Detached,2 Storey,2025-02-04,191 (14.3%),2477,0.0,0.0,Yes,No,Yes,0.344,0.700,5.923,4.6112
4758996,1144.0,5823.324,3.0,1.5,Detached,Split Level,2025-04-09,3,4.2533,1000.0,4958.0,3.0,1.5,Detached,Bungalow,2025-05-07,144 (14.4%),865,0.0,0.0,Yes,No,Yes,0.410,0.700,6.760,4.2533
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,1,3.8720,2338.0,3344.0,4.0,3.0,Detached,2 Storey,2025-03-03,310 (13.3%),1586,1.0,1.0,Yes,Yes,Yes,0.244,1.000,5.903,3.872
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,2,3.5537,2270.0,4370.0,4.0,4.0,Detached,2 Storey,2025-01-20,378 (16.6%),560,1.0,0.0,Yes,Yes,Yes,0.209,1.000,nan,3.5537
4759024,2647.944,4929.911999999999,5.0,4.0,Detached,2 Storey,2025-04-07,3,3.5376,2250.0,6534.0,4.0,3.5,Detached,2 Storey,2025-01-29,398 (17.7%),1604,1.0,0.5,Yes,Yes,Yes,0.201,1.000,7.775,3.5376
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,1,4.0999,1130.0,35810.0,2.0,2.0,Detached,1.5 Storey,2025-04-04,270 (23.9%),1564,1.0,0.0,Yes,No,Yes,0.270,0.700,9.958,4.0999
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,2,-0.0849,1366.0,48424.0,3.0,2.0,Detached,Bungalow,2024-10-23,34 (2.5%),11050,0.0,0.0,Yes,No,No,0.746,0.400,1.396,0.0849
4759088,1400.0,37374.0,3.0,2.0,Detached,Bungalow Raised,2025-04-11,3,-0.0849,1646.0,24573.0,3.0,2.0,Detached,1.5 Storey,2024-11-08,246 (14.9%),12801,0.0,0.0,Yes,No,No,0.289,0.400,6.378,0.0849
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,1,2.7064,1082.0,28747.0,2.0,2.0,Detached,1.5 Storey,2025-05-01,218 (20.1%),12811,1.0,1.0,Yes,No,Yes,0.314,0.700,8.659,2.7064
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,2,1.2772,625.0,68900.0,2.0,1.0,Detached,1 Storey,2025-03-21,239 (38.2%),52964,1.0,0.0,Yes,Yes,Yes,0.295,1.000,15.696,1.2772
4759260,864.0,15936.0,3.0,1.0,Detached,1 Storey,2025-04-09,3,0.0246,1260.0,80150.0,3.0,1.5,Detached,1 Storey,2025-01-31,396 (31.4%),64214,0.0,0.5,Yes,Yes,Yes,0.202,1.000,12.871,0.0246
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,1,4.3639,1901.0,3640.0,3.0,3.0,Detached,2 Storey,2025-03-04,127 (6.7%),503,0.0,0.5,Yes,Yes,Yes,0.441,1.000,2.972,4.3639
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,2,4.3239,1572.0,3248.0,3.0,3.0,Detached,2 Storey,2025-03-06,202 (12.8%),111,0.0,0.5,Yes,Yes,Yes,0.331,1.000,5.440,4.3239
4759498,1774.0,3137.0,3.0,3.5,Detached,2 Storey,2025-04-08,3,3.9792,1963.0,3640.0,3.0,4.0,Detached,2 Storey,2025-03-05,189 (9.6%),503,0.0,0.5,Yes,Yes,Yes,0.346,1.000,4.751,3.9792
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,1,4.6660,1685.0,4799.0,3.0,1.5,Detached,2 Storey,2025-05-08,110 (6.5%),1501,0.0,0.0,Yes,No,Yes,0.476,0.700,2.811,4.666
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,2,4.6211,1762.0,5733.0,4.0,1.5,Detached,2 Storey,2025-04-02,33 (1.9%),567,1.0,0.0,Yes,No,Yes,0.752,0.700,1.349,4.6211
4759512,1795.0,6300.0,3.0,1.5,Detached,1.5 Storey,2025-04-09,3,4.0039,1531.0,3398.0,3.0,2.0,Detached,2 Storey,2025-04-11,264 (17.2%),2902,0.0,0.5,Yes,No,Yes,0.275,0.700,7.397,4.0039
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,1,-2.5176,1560.0,3796.0,4.0,4.0,Detached,2 Storey,2025-03-31,1577 (101.1%),10579,1.0,0.0,No,Yes,Yes,0.060,0.600,40.836,2.5176
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,2,-2.5551,3638.0,20912.0,3.0,4.5,Detached,2.5 Storey,2025-02-18,501 (13.8%),6537,2.0,0.5,No,No,Yes,0.166,0.300,6.209,2.5551
4759561,3137.0,14375.0,5.0,4.0,Duplex,2 Storey,2025-04-08,3,-2.6223,900.0,9364.0,4.0,2.0,Duplex,Split Level,2025-03-03,2237 (248.6%),5011,1.0,2.0,Yes,No,Yes,0.043,0.700,101.422,2.6223
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,1,4.7757,1243.0,3257.0,3.0,1.5,Semi Detached,2 Storey,2025-04-30,111 (8.9%),243,0.0,0.0,Yes,Yes,Yes,0.474,1.000,3.972,4.7757
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,2,4.6179,1110.0,3037.0,4.0,1.5,Semi Detached,2 Storey,2025-03-25,22 (2.0%),463,1.0,0.0,Yes,Yes,Yes,0.820,1.000,1.593,4.6179
4759562,1132.0,3500.0,3.0,1.5,Semi Detached,2 Storey,2025-04-08,3,4.4079,1232.0,3136.0,4.0,1.5,Semi Detached,2 Storey,2025-04-17,100 (8.1%),364,1.0,0.0,Yes,Yes,Yes,0.500,1.000,4.647,4.4079
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,1,4.6532,1986.0,11250.0,4.0,1.5,Detached,Split Level,2025-03-25,198 (10.0%),2982,1.0,0.0,Yes,No,Yes,0.336,0.700,4.588,4.6532
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,2,4.0936,1762.0,5733.0,4.0,1.5,Detached,2 Storey,2025-04-02,26 (1.5%),8499,1.0,0.0,Yes,Yes,Yes,0.794,1.000,0.990,4.0936
4759604,1788.0,14232.0,3.0,1.5,Detached,2 Storey,2025-04-10,3,3.8552,1542.0,10300.0,4.0,2.0,Detached,2 Storey,2025-04-30,246 (16.0%),3932,1.0,0.5,Yes,Yes,Yes,0.289,1.000,8.081,3.8552
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,1,4.4651,2408.0,33888.0,3.0,2.5,Detached,2 Storey,2025-01-27,144 (6.0%),55,1.0,0.0,Yes,Yes,Yes,0.410,1.000,3.192,4.4651
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,2,4.4255,2160.0,57400.0,4.0,2.5,Detached,2 Storey,2024-11-18,104 (4.8%),23457,0.0,0.0,Yes,Yes,No,0.490,0.700,2.326,4.4255
4759647,2264.0,33943.0,4.0,2.5,Detached,2 Storey,2025-04-10,3,3.9062,2207.0,59739.0,3.0,2.5,Detached,2 Storey,2025-01-31,57 (2.6%),25796,1.0,0.0,Yes,Yes,Yes,0.637,1.000,2.433,3.9062
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,1,4.7757,2488.0,5433.78,4.0,3.5,Detached,2 Storey,2025-01-16,42 (1.7%),553,1.0,0.0,Yes,Yes,Yes,0.704,1.000,0.875,4.7757
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,2,4.4053,2703.0,4746.0,4.0,4.0,Detached,2 Storey,2025-02-10,173 (6.4%),1241,1.0,0.5,Yes,Yes,Yes,0.366,1.000,3.260,4.4053
4759723,2530.0,5987.0,3.0,3.5,Detached,2 Storey,2025-04-09,3,4.1208,2781.0,5684.0,3.0,4.0,Detached,2 Storey,2025-02-05,251 (9.0%),303,0.0,0.5,Yes,Yes,Yes,0.285,1.000,4.310,4.1208
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,1,4.6112,1384.0,3300.0,3.0,1.5,Detached,1.5 Storey,2025-05-02,253 (18.3%),2700,0.0,0.0,Yes,No,Yes,0.283,0.700,7.312,4.6112
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,2,4.4852,1854.0,5968.0,3.0,1.5,Detached,2 Storey,2025-03-28,217 (11.7%),32,0.0,0.0,Yes,No,Yes,0.315,0.700,4.882,4.4852
4759846,1637.0,6000.0,3.0,1.5,Detached,Split Level,2025-04-14,3,4.2508,1432.0,4200.0,3.0,2.0,Detached,2 Storey,2025-01-28,205 (14.3%),1800,0.0,0.5,Yes,No,Yes,0.328,0.700,6.026,4.2508
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,1,1.4992,2250.0,440502.0,4.0,0.0,Detached,Bungalow Raised,2025-03-28,101 (4.5%),2419,0.0,3.5,Yes,Yes,Yes,0.498,1.000,2.696,1.4992
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,2,1.3042,2250.0,5733.0,3.0,0.0,Detached,Bungalow,2025-02-13,101 (4.5%),432350,1.0,3.5,Yes,No,Yes,0.498,0.700,2.696,1.3042
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,3,1.3042,2250.0,2835.0,4.0,0.0,Detached,2 Storey,2025-02-24,101 (4.5%),435248,0.0,3.5,Yes,No,Yes,0.498,0.700,2.896,1.3042
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,1,3.9287,1750.0,1785.0,5.0,0.0,Townhouse,2.5 Storey,2025-03-26,90 (5.1%),43,1.0,1.0,Yes,Yes,Yes,0.526,1.000,2.857,3.9287
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,2,3.6809,1750.0,1404.0,6.0,0.0,Townhouse,2 Storey,2025-03-24,90 (5.1%),338,2.0,1.0,Yes,No,Yes,0.526,0.700,3.257,3.6809
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,3,3.1951,1750.0,,6.0,0.0,Townhouse,2 Storey,2025-04-07,90 (5.1%),nan,2.0,1.0,Yes,No,Yes,0.526,0.700,3.057,3.1951
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,1,4.4079,1496.0,3845.0,3.0,1.5,Detached,2 Storey,2025-04-25,142 (9.5%),595,0.0,0.0,Yes,Yes,Yes,0.413,1.000,4.997,4.4079
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,2,4.3679,1200.0,3400.0,3.0,1.5,Detached,2 Storey,2025-02-21,154 (12.8%),150,0.0,0.0,Yes,Yes,Yes,0.394,1.000,6.133,4.3679
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,3,4.0083,1352.0,6587.0,4.0,2.0,Detached,Split Level,2025-03-31,2 (0.1%),3337,1.0,0.5,Yes,No,Yes,0.980,0.700,0.959,4.0083
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,1,4.8206,1731.0,2863.0,3.0,2.5,Detached,2 Storey,2025-02-04,158 (9.1%),1195,0.0,0.0,Yes,Yes,Yes,0.388,1.000,3.842,4.8206
