orderID,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,subj_room_count,room_count_clean,room_count_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180
4763086,1283.0,1610.0,327.0,54450.0,48825.0,5625.0,2.0,3.0,1.0,3.0,2.5,0.5,5.0,6.0,1.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2024-10-11,0,0
4763086,1283.0,1976.0,693.0,54450.0,76570.0,22120.0,2.0,5.0,3.0,3.0,4.0,1.0,5.0,8.0,3.0,Detached,Detached,1.0,Bungalow,2 Storey,0.0,2025-02-17,1,1
4763087,1530.0,1048.0,482.0,,,,3.0,2.0,1.0,2.0,1.0,1.0,6.0,5.0,1.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2025-04-15,1,1
4763087,1530.0,1553.0,23.0,,,,3.0,2.0,1.0,2.0,2.0,0.0,6.0,6.0,0.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2025-02-18,1,1
4763087,1530.0,1483.0,47.0,,,,3.0,3.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2024-12-13,0,1
4764094,1746.0,2100.0,354.0,6825.0,7726.0,901.0,3.0,4.0,1.0,2.5,2.5,0.0,7.0,8.0,1.0,Detached,Detached,1.0,Split Level,Split Level,1.0,2025-04-14,1,1
4764094,1746.0,1688.0,58.0,6825.0,7623.0,798.0,3.0,3.0,0.0,2.5,1.5,1.0,7.0,6.0,1.0,Detached,Detached,1.0,Split Level,Split Level,1.0,2024-12-13,0,1
4764094,1746.0,2298.0,552.0,6825.0,9110.0,2285.0,3.0,3.0,0.0,2.5,2.5,0.0,7.0,8.0,1.0,Detached,Detached,1.0,Split Level,2 Storey,0.0,2024-11-18,0,1
4764103,1602.0,1306.0,296.0,3694.0,2604.0,1090.0,2.0,3.0,1.0,3.0,2.0,1.0,6.0,7.0,1.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2025-03-31,1,1
4764103,1602.0,1334.0,268.0,3694.0,3348.0,346.0,2.0,3.0,1.0,3.0,2.0,1.0,6.0,6.0,0.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2025-03-23,1,1
4764103,1602.0,1120.0,482.0,3694.0,1936.0,1758.0,2.0,3.0,1.0,3.0,2.0,1.0,6.0,6.0,0.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2024-12-05,0,1
4761696,1751.0,1802.0,51.0,3358.0,2992.0,366.0,3.0,4.0,1.0,2.5,2.5,0.0,7.0,8.0,1.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2024-12-09,0,1
4761696,1751.0,2131.0,380.0,3358.0,2893.0,465.0,3.0,3.0,0.0,2.5,2.5,0.0,7.0,7.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-03-29,1,1
4761696,1751.0,1758.0,7.0,3358.0,4230.0,872.0,3.0,3.0,0.0,2.5,2.5,0.0,7.0,7.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-03-29,1,1
4762154,1523.0,1816.0,293.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,6.0,7.0,1.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2025-02-24,1,1
4762154,1523.0,2206.0,683.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,6.0,7.0,1.0,Condominium,Condominium,1.0,1 Storey,2 Storey,0.0,2024-11-21,0,1
4762154,1523.0,1342.0,181.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,Condominium,Condominium,1.0,1 Storey,1 Storey,1.0,2024-10-18,0,1
4762330,2456.0,2367.0,89.0,5909.436,5382.0,527.4359999999997,4.0,4.0,0.0,2.5,3.0,0.5,10.0,10.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-04-07,1,1
4762330,2456.0,2614.0,158.0,5909.436,5231.304,678.1319999999996,4.0,5.0,1.0,2.5,4.0,1.5,10.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-08,1,1
4762330,2456.0,2608.0,152.0,5909.436,4940.6759999999995,968.7600000000002,4.0,4.0,0.0,2.5,2.0,0.5,10.0,9.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-27,1,1
4762406,3332.0,2555.0,777.0,42495.0,169884.0,127389.0,5.0,3.0,2.0,2.5,3.0,0.5,10.0,7.0,3.0,Detached,Detached,1.0,1.5 Storey,1 Storey,0.0,2025-01-25,1,1
4762406,3332.0,1829.0,1503.0,42495.0,24650.0,17845.0,5.0,1.0,4.0,2.5,1.5,1.0,10.0,6.0,4.0,Detached,Detached,1.0,1.5 Storey,1 Storey,0.0,2024-12-19,0,1
4762406,3332.0,3024.0,308.0,42495.0,59396.0,16901.0,5.0,3.0,2.0,2.5,2.5,0.0,10.0,10.0,0.0,Detached,Detached,1.0,1.5 Storey,1.5 Storey,1.0,2024-06-28,0,0
4761220,1525.0,1695.0,170.0,2619.0,2433.0,186.0,3.0,3.0,0.0,3.5,3.0,0.5,7.0,6.0,1.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2025-03-09,1,1
4761220,1525.0,1572.0,47.0,2619.0,2647.0,28.0,3.0,3.0,0.0,3.5,3.5,0.0,7.0,7.0,0.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2025-04-02,1,1
4761220,1525.0,1489.0,36.0,2619.0,2680.0,61.0,3.0,3.0,0.0,3.5,3.5,0.0,7.0,7.0,0.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,2025-03-04,1,1
4761433,2895.0,2354.0,541.0,26700.0,131115.0,104415.0,4.0,3.0,1.0,3.0,2.5,0.5,10.0,7.0,3.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,2025-02-21,1,1
4761433,2895.0,2494.0,401.0,26700.0,11029.0,15671.0,4.0,4.0,0.0,3.0,3.0,0.0,10.0,7.0,3.0,Detached,Detached,1.0,1 Storey,2 Storey,0.0,2025-03-21,1,1
4761433,2895.0,3774.0,879.0,26700.0,18036.0,8664.0,4.0,5.0,1.0,3.0,3.5,0.5,10.0,11.0,1.0,Detached,Detached,1.0,1 Storey,2 Storey,0.0,2024-09-20,0,0
4761446,1678.0,1805.0,127.0,5663.0,5831.0,168.0,3.0,4.0,1.0,2.0,3.0,1.0,7.0,17.0,10.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2025-03-19,1,1
4761446,1678.0,1741.0,63.0,5663.0,5900.0,237.0,3.0,4.0,1.0,2.0,3.0,1.0,7.0,9.0,2.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2024-11-16,0,1
4761446,1678.0,2094.0,416.0,5663.0,6600.0,937.0,3.0,4.0,1.0,2.0,2.5,0.5,7.0,16.0,9.0,Detached,Detached,1.0,Bungalow,Split Level,0.0,2024-11-20,0,1
4759647,2264.0,3167.0,903.0,33943.0,52500.0,18557.0,4.0,2.0,2.0,2.5,2.5,0.0,9.0,7.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-04-07,1,1
