orderID,is_good_comp_predicted,probability_good_comp
4762739,0,0.07
4762739,0,0.16
4762739,0,0.09
4762739,0,0.05
4762739,0,0.19
4762739,0,0.09
4762739,0,0.18
4762739,0,0.46
4762739,0,0.32
4762739,0,0.0
4762739,0,0.04
4762739,0,0.02
4762739,0,0.1
4762739,0,0.2
4762739,0,0.04
4762739,0,0.02
4762739,0,0.03
4762739,0,0.13
4762739,0,0.01
4763065,0,0.11
4763065,0,0.13
4763065,0,0.43
4763065,0,0.14
4763065,0,0.35
4763065,1,0.78
4763065,0,0.07
4763065,0,0.08
4763065,0,0.48
4763065,0,0.1
4763065,0,0.15
4763065,0,0.15
4763065,0,0.33
4763065,0,0.11
4763065,0,0.11
4763065,0,0.0
4763065,0,0.11
4763065,0,0.01
4763065,0,0.09
4763065,0,0.14
4763065,0,0.17
4763065,0,0.08
4763065,0,0.1
4763065,0,0.06
4763065,0,0.07
4763065,0,0.4
4763065,0,0.31
4763065,0,0.09
4763065,0,0.12
4763065,0,0.21
4763065,0,0.07
4763065,1,0.57
4763065,0,0.44
4763065,0,0.13
4763065,0,0.1
4763065,0,0.45
4763065,1,0.55
4763065,1,0.54
4763065,0,0.35
4763065,0,0.21
4763065,0,0.24
4763065,0,0.05
4763065,0,0.13
4763065,0,0.06
4763065,0,0.11
4763065,0,0.32
4763065,0,0.5
4763065,0,0.05
4763065,0,0.05
4763065,0,0.15
4763065,0,0.35
4763065,1,0.61
4763065,0,0.43
4763065,0,0.15
4763065,0,0.04
4763065,0,0.07
4763065,0,0.5
4763065,0,0.08
4763065,0,0.11
4763065,0,0.48
4763065,0,0.08
4763065,0,0.15
4763065,0,0.02
4763065,0,0.0
4763065,0,0.49
4763065,0,0.41
4763065,0,0.04
4763065,0,0.0
4763065,0,0.03
4763065,0,0.0
4763065,0,0.45
4763065,0,0.31
4763065,0,0.04
4763065,0,0.26
4763065,0,0.02
4763065,0,0.03
4763065,0,0.03
4763065,0,0.22
4763065,0,0.15
4763065,1,0.52
4763065,0,0.33
4763065,0,0.23
4763065,0,0.01
4763065,0,0.12
4763065,1,0.58
4763065,0,0.03
4763065,0,0.02
4763065,0,0.06
4763065,0,0.31
4763065,0,0.03
4763065,0,0.06
4763065,0,0.17
4763065,0,0.21
4763065,0,0.01
4763065,0,0.0
4763065,0,0.41
4763065,0,0.02
4763065,0,0.43
4763065,0,0.33
4763065,0,0.01
4763065,0,0.0
4763065,0,0.28
4763065,0,0.09
4763065,0,0.24
4763065,0,0.44
4763065,0,0.46
4763065,0,0.03
4763065,0,0.0
4763065,0,0.0
4763065,0,0.25
4763065,0,0.0
4763065,0,0.0
4763065,0,0.03
4763065,0,0.03
4763065,0,0.01
4763065,0,0.0
4763065,0,0.07
4763065,0,0.04
4763065,0,0.06
4763065,0,0.04
4763065,0,0.03
4763065,1,0.59
4763065,0,0.43
4763065,0,0.03
4763065,0,0.0
4763065,0,0.0
4763065,0,0.01
4763065,0,0.07
4763065,0,0.15
4763065,0,0.07
4763065,0,0.25
4763065,0,0.0
4763065,0,0.0
4763065,0,0.01
4763065,0,0.0
4763065,0,0.12
4763065,0,0.42
4763065,0,0.18
4763065,0,0.0
4763065,0,0.24
4763065,0,0.01
4763065,0,0.0
4763065,0,0.0
4763065,0,0.18
4763065,0,0.02
4763065,0,0.0
4763065,0,0.09
4763065,0,0.14
4763065,0,0.13
4763065,0,0.04
4763065,0,0.04
4763065,0,0.15
4763065,0,0.01
4763065,0,0.28
4763065,0,0.31
4763065,0,0.05
4763065,0,0.09
4763065,0,0.02
4763065,0,0.21
4763065,0,0.0
4763065,0,0.0
4763065,0,0.0
4763065,0,0.0
4763065,0,0.0
4763065,0,0.02
4763065,0,0.0
4763065,0,0.02
4763065,0,0.0
4763065,0,0.04
4763065,0,0.11
4763065,0,0.01
4763065,0,0.19
4763065,0,0.0
4763065,0,0.0
4763065,0,0.01
4763065,0,0.0
4763065,0,0.01
4763065,0,0.23
4763065,0,0.09
4763065,0,0.02
4763065,0,0.02
4763065,0,0.28
4763065,0,0.09
4763065,0,0.01
4763065,0,0.0
4763065,0,0.0
4763065,0,0.06
4763065,0,0.0
4763065,0,0.1
4763065,0,0.03
4763065,0,0.0
4763065,0,0.01
4763065,1,0.72
4763065,0,0.01
4763065,0,0.01
4763065,0,0.03
4763065,0,0.03
4763065,0,0.18
4763065,0,0.05
4763086,0,0.01
4763086,0,0.05
4763086,0,0.23
4763086,0,0.02
4763086,0,0.05
4763086,0,0.19
4763086,0,0.19
4763086,0,0.29
4763086,0,0.04
4763086,0,0.06
4763086,0,0.01
4763086,0,0.03
4763086,0,0.05
4763086,0,0.04
4763086,0,0.23
4763086,0,0.06
4763086,0,0.04
4763086,0,0.12
4763086,0,0.4
4763086,0,0.28
4763086,0,0.2
4763086,0,0.11
4763086,0,0.01
4763086,0,0.02
4763086,0,0.07
4763086,0,0.03
4763086,0,0.02
4763086,0,0.0
4763086,0,0.22
4763086,0,0.01
4763086,0,0.2
4763086,0,0.23
4763086,0,0.0
4763086,0,0.02
4763086,0,0.21
4763086,0,0.02
4763086,0,0.1
4763086,0,0.05
4763086,0,0.02
4763086,0,0.05
4763086,0,0.01
4763086,0,0.45
4763086,0,0.02
4763086,0,0.01
4763086,0,0.14
4763086,0,0.01
4763086,0,0.03
4763086,0,0.31
4763086,0,0.1
4763086,0,0.01
4763086,0,0.12
4763086,0,0.13
4763086,0,0.01
4763086,0,0.0
4763086,0,0.02
4763086,0,0.01
4763086,0,0.04
4763086,0,0.01
4763086,0,0.08
4763086,0,0.07
4763086,0,0.01
4763086,1,0.58
4763086,0,0.08
4763086,0,0.01
4763086,0,0.15
4763086,0,0.15
4763086,0,0.05
4763086,0,0.02
4763086,0,0.0
4763086,0,0.01
4763086,0,0.0
4763086,0,0.01
4763086,0,0.02
4763086,0,0.15
4763086,0,0.13
