orderID,id,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,subj_room_count,room_count_clean,room_count_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,sold_recently_90,sold_recently_180,pred,close_price,rank
4758996,288939.0,1144.0,991.0,153.0,5823.324,4437.0,1386.3239999999996,Detached,Detached,1.0,Split Level,Bi-Level,0.0,6.0,7.0,1.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,0.33606166,525000.0,2
4758996,287980.0,1144.0,925.0,219.0,5823.324,4176.0,1647.3239999999996,Detached,Detached,1.0,Split Level,Bungalow,0.0,6.0,7.0,1.0,3.0,3.0,0.0,1.5,1.0,0.5,1,1,0.31024045,475000.0,3
4759024,98430.0,2647.944,2338.0,309.944,4929.911999999999,3344.0,1585.9119999999994,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,8.0,1.0,5.0,4.0,1.0,4.0,3.0,1.0,1,1,0.38839102,799050.0,1
4759024,10274.0,2647.944,2250.0,397.944,4929.911999999999,6534.0,1604.0880000000006,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,11.0,2.0,5.0,4.0,1.0,4.0,3.5,0.5,1,1,0.20892389,720000.0,2
4759024,284678.0,2647.944,1734.0,913.944,4929.911999999999,2895.0,2034.9119999999996,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,8.0,1.0,5.0,4.0,1.0,4.0,3.5,0.5,1,1,0.20042118,690000.0,3
4759088,293612.0,1400.0,1350.0,50.0,37374.0,30719.0,6655.0,Detached,Detached,1.0,Bungalow Raised,2 Storey,0.0,6.0,7.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,0,1,0.11989428,395000.0,1
4759088,293572.0,1400.0,864.0,536.0,37374.0,48085.0,10711.0,Detached,Detached,1.0,Bungalow Raised,Split Level,0.0,6.0,9.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,0,1,0.107585736,429900.0,2
4759088,292631.0,1400.0,1026.0,374.0,37374.0,43560.0,6186.0,Detached,Detached,1.0,Bungalow Raised,Bungalow,0.0,6.0,7.0,1.0,3.0,3.0,0.0,2.0,1.5,0.5,0,1,0.08152437,450000.0,3
4759260,291996.0,864.0,625.0,239.0,15936.0,68900.0,52964.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1,1,0.343285,190000.0,1
4759260,294402.0,864.0,1260.0,396.0,15936.0,80150.0,64214.0,Detached,Detached,1.0,1 Storey,1 Storey,1.0,5.0,6.0,1.0,3.0,3.0,0.0,1.0,1.5,0.5,1,1,0.07795111,375000.0,2
