orderID,subject_gla,subject_lot_size,subject_bedrooms,subject_bathrooms,subject_property_type,subject_stories,subject_effective_date,rank,probability_score,candidate_gla,candidate_lot_size,candidate_bedrooms,candidate_bathrooms,candidate_property_type,candidate_stories,candidate_sale_date,gla_difference,lot_size_difference,bedroom_difference,bathroom_difference,is_same_property_type,is_same_storey_type,sold_within_90_days,sold_within_180_days
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,2,0.013000000268220901,1300.0,25520.0,2.0,0.0,Detached,Bungalow Raised,2025-01-01,849.0,412562.92,2.0,3.5,1.0,1.0,0,1
4760530,2149.0,438082.92,4.0,3.5,Detached,Bungalow Raised,2025-04-14,3,0.013000000268220901,3250.0,6489.0,7.0,0.0,Detached,2 Storey,2025-03-20,1101.0,431593.92,3.0,3.5,1.0,0.0,1,1
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,1,0.9760000109672546,2250.0,2014.0,5.0,0.0,Townhouse,2.5 Storey,2025-01-20,410.0,272.0,1.0,1.0,1.0,1.0,1,1
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,2,0.8560000061988831,1750.0,1785.0,5.0,0.0,Townhouse,2.5 Storey,2025-03-26,90.0,43.0,1.0,1.0,1.0,1.0,1,1
4760630,1840.0,1742.0,4.0,1.0,Townhouse,2.5 Storey,2025-04-10,3,0.7710000276565552,2000.0,2014.5,5.0,3.0,Townhouse,2.5 Storey,2025-01-20,160.0,272.5,1.0,2.0,1.0,1.0,1,1
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,1,0.6520000100135803,960.0,9000.0,3.0,1.5,Detached,Bungalow,2025-04-14,394.0,5750.0,0.0,0.0,1.0,0.0,1,1
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,2,0.30300000309944153,1268.0,9534.0,3.0,2.0,Detached,Split Level,2025-03-03,86.0,6284.0,0.0,0.5,1.0,0.0,1,1
4760651,1354.0,3250.0,3.0,1.5,Detached,2 Storey,2025-04-15,3,0.2529999911785126,913.0,14500.0,3.0,1.0,Detached,Bungalow,2025-04-11,441.0,11250.0,0.0,0.5,1.0,0.0,1,1
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,1,0.9909999966621399,1731.0,2863.0,3.0,2.5,Detached,2 Storey,2025-02-04,157.6,1195.028,0.0,0.0,1.0,1.0,1,1
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,2,0.9610000252723694,1522.0,2335.0,3.0,2.5,Detached,2 Storey,2025-05-03,51.4,1723.028,0.0,0.0,1.0,1.0,1,1
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,3,0.9509999752044678,1440.0,2993.0,3.0,2.5,Detached,2 Storey,2025-05-07,133.4,1065.028,0.0,0.0,1.0,1.0,1,1
